INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Axis Bank,Indian Private Sector Banks,6.5,1 year to less than 13 months,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,13 months to less than 14 months,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,14 months to less than 15 months,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,15 months to less than 16 months,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,16 months to less than 17 months,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,17 months to less than 18 months,Rs. 25 cr to less than Rs. 50 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,1 year to less than 13 months,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,13 months to less than 14 months,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,14 months to less than 15 months,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,15 months to less than 16 months,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,16 months to less than 17 months,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,17 months to less than 18 months,Rs. 5 cr to less than Rs. 10 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,1 year to less than 13 months,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,13 months to less than 14 months,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,14 months to less than 15 months,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,15 months to less than 16 months,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,16 months to less than 17 months,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.5,17 months to less than 18 months,Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,6.5,270 days to less than 1 year,Less than Rs. 1 crore,General,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,6.5,3 years to less than 5 years,Less than Rs. 1 crore,General,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,6.5,5 years and upto 10 years,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.5,Above 2 years to 3 years,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.5,Above 3 years to 5 years,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.5,Above 5 years to 10 years,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.5,91 days to 179 days,Less than Rs. 1 crore,Senior Citizen,Taxable
Abhyudaya Co-operative Bank,Cooperative Banks,6.5,91 days and above upto 180 days,Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,6.5,181 days to less than 1 year,15 lakh and above Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,6.5,181 days to less than 1 year,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,6.5,181 days to less than 1 year,Less than Rs. 15 lakh,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,6.5,181 days to less than 1 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,6.5,181 days to less than 1 year,Rs. 1 cr and above,Senior Citizen,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,6.5,365 Days,Less than Rs. 1 cr,General,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,6.5,91 days to 364 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,6.5,Over 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,6.5,180 days to 269 days,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,6.5,270 days to Less than 1 Year,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,6.5,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
