INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Bombay Mercantile Co-operative Bank,Cooperative Banks,9,Above 18 months to 5 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8.5,5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8.5,DB Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bharat Co-operative Bank,Cooperative Banks,8.35,Above 5 years,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,8.25,12 months to 24 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.24,24 month to less than 36 month,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.14,12 month to less than 24 month,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,8.1,Above 5 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,8.1,Bharat Co-operative Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
The Ratnakar Bank,Indian Private Sector Banks,8.08,120 months to 240 months,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.08,36 month to les than 60 month,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.08,60 months to 120 months,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,8.08,Ratnakar Tax Savings Term Deposit Scheme - 60 months to 120 months,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bharat Co-operative Bank,Cooperative Banks,8,Above 3 years to 5 years,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,8,Above 1 years to 18 month,Less than Rs. 15 lakh,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8,5 years,Less than Rs. 1 cr,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,8,12 months to 24 months,Less than Rs. 15 lakh,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,8,1000 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,8,13 months,Less than Rs. 25 lakh,Senior Citizen,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,8,Above 12 months to 36 months,Upto Rs. 15 lakh,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,8,DB Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,General,Tax Saving
Bharat Co-operative Bank,Cooperative Banks,7.9,Above 5 years,15 lakh and above Less than Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.82,241 days to 364 days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.8,1234 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.8,1234 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.77,12 month to less than 24 month,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.75,Above 3 years to 5 years,15 lakh and above Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.75,1 year to 3 years,15 lakh and above Less than Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.75,Above 3 years to 5 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.75,Above 12 Months to 18 Months,Rs. 15 lakh and above,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.75,Above 18 Months to 120 Months,Rs. 15 lakh and above,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.75,Above 4 years to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.75,More than 36 months to 60 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.75,Above 24 months to 36 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.75,500 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.75,13 months,Less than Rs. 25 lakh,General,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.75,12 months to 36 months,Less than Rs. 25 lakh,Senior Citizen,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7.75,Above 36 months to 60 months,Upto Rs. 15 lakh,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,120 months to 240 months,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,24 month to less than 36 month,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,36 month to les than 60 month,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.71,60 months to 120 months,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.7,24 months to 36 months,Less than Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.7,More than 60 months to 120 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.7,36 Months 10 Days to 36 Months 20 Days,Less than Rs. 1cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.66,241 days to 364 days,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,1 years and above to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,2 years & above to 1233 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,1 years and above to less than 2 years,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.65,2 years & above to 1233 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.65,Above 5 years,Less than Rs. 15 lakh,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.65,Above 5 years,Rs. 1 cr and above,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,1 year to below 1 years 2 months,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,2 years to below 2 years 6 months,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,1 year to below 1 years 2 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.65,2 years to below 2 years 6 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.65,18 Months 8 Days to 18 Months 18 Days,Less than Rs. 1cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.65,Bharat Co-operative Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
The Ratnakar Bank,Indian Private Sector Banks,7.62,181 days to 240 days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.62,181 days to 240 days,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.6,18 months to less than 24 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,7.6,2 years and above but less than 3 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.6,1 Year to 10 years,Less than Rs. 1cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.6,Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Indus Ind Bank,Indian Private Sector Banks,7.55,1 years 2 months to below 2 years,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.55,1 years 2 months to below 2 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7.5,1 year to less than 13 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7.5,13 months to less than 14 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7.5,14 months to less than 15 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7.5,15 months to less than 16 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7.5,16 months to less than 17 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7.5,17 months to less than 18 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.5,1235 to 5 Years,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.5,1235 to 5 Years,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.5,1 year to 3 years,15 lakh and above Less than Rs. 1 cr,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.5,Above 3 years to 5 years,Less than Rs. 15 lakh,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.5,1 year to 3 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.5,Above 3 years to 5 years,Rs. 1 cr and above,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.5,Above 12 Months to 18 Months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.5,Above 18 Months to 120 Months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.5,Above 12 Months to 18 Months,Rs. 15 lakh and above,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.5,Above 18 Months to 120 Months,Rs. 15 lakh and above,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7.5,1 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7.5,Above 1 year to less than 2 years,Less than Rs. 1cr,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7.5,Above 2 years to 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
City Union Bank (CUB),Indian Private Sector Banks,7.5,1 year,Up to Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.5,Above 2 years to 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.5,Above 3 years to 4 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.5,5 years to less than 8 years,Less than Rs. 1cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.5,8 years and upto 10 years,Less than Rs. 1cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.5,12 Months to less than 18 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,7.5,Above 12 months to 30 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,7.5,Above 30 months to 60 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,7.5,180 days,Upto Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.5,181 days to less than 12 months,Less than Rs. 15 lakh,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.5,Above 24 months to 36 months,Less than Rs. 15 lakh,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.5,181 days to less than 12 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Karur Vysya Bank,Indian Private Sector Banks,7.5,2 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Karur Vysya Bank,Indian Private Sector Banks,7.5,3 years to 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.5,1000 days,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.5,1 year to 499 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.5,1001 days to 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.5,501days to 999 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,7.5,1 year and above but upto 2 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.5,12 months to 36 months,Less than Rs. 25 lakh,General,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.5,37 months to 60 months,Less than Rs. 25 lakh,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.5,24 month to less than 36 month,Less than lakh to Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,7.5,1 year to 375 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,18 Months to 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,181 days to 210 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,2 years to 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,211 days to 226 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,227 days to 269 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,270 days to 345 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,3 years to 4 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,346 days to 364 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,376 days to 390 day,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,391 days to less than 18 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,7.5,4 years to 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7.5,Above 12 months to 36 months,Upto Rs. 15 lakh,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7.5,Above 60 months,Upto Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.5,1 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.5,20 months 20 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.5,3 years & Above,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.5,Above 1 year to less than 20 months 20 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.5,Above 20 months 20 days too less than 3 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.5,TMB - Tax Saving FD - 5 years,Less than Rs. 15 lakh,Senior Citizen,Tax Saving
Yes Bank,Indian Private Sector Banks,7.5,3 months to less than 6 months,Less than Rs. 1cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.5,6 months to less than 9 months,Less than Rs. 1cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.5,9 months to less than 1 year,Less than Rs. 1cr,Senior Citizen,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7.5,KAR-BACHAT - Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
HDFC Bank,Indian Private Sector Banks,7.45,1 year 1 day - 1 year 3 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,7.45,5 years and above upto 10 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.45,1 year,15 lakh and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.45,20 months 20 days,15 lakh and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.45,3 years & Above,15 lakh and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.45,Above 1 year to less than 20 months 20 days,15 lakh and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,7.45,Above 20 months 20 days too less than 3 years,15 lakh and above,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.45,46 days to 90 days,Less than Rs. 1cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7.4,1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7.4,1 year and above up to 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7.4,1 year,Less than Rs. 1cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.4,Above 1 year to 1.5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.4,Above 1.5 years to 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,7.4,1 Year,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7.4,390 Days (12 months 25 days),Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,7.4,270 days and above but below 1 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,7.4,3 years and above but less than 5 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,7.4,1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.4,12 month to less than 24 month,Less than lakh to Rs. 1 cr,General,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,7.4,1 year to 455 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,7.4,1 year to 455 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7.4,1 year to 455 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7.4,1 year to 455 days,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7.4,1 year to 455 days,Less than Rs. 1cr,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.4,AV Deposit Scheme - 366 Days (Simple Interest),Less than Rs. 1 cr,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.4,Mangal Moorti Scheme 24 mnths (simple int),Less than Rs. 1 cr,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,7.35,1 year to 2 years,Less than Rs. 1 crore,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,7.35,1 year to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,7.35,1 year to 2 years,Less than Rs. 1cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,7.35,3 years to 5 years,Less than Rs. 1cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,7.35,Above 2 years to less than 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,7.35,Above 5 years to 10 years,Less than Rs. 1cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.35,120 months to 240 months,Less than lakh to Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.35,36 month to les than 60 month,Less than lakh to Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.35,60 months to 120 months,Less than lakh to Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,7.35,Above 1 year up to 24 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,7.35,Above 24 months up to 36 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,7.35,PSB Fixed Deposit Tax Saver Scheme,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
The Ratnakar Bank,Indian Private Sector Banks,7.35,Ratnakar Tax Savings Term Deposit Scheme - 60 months to 120 months,Upto Rs. 1 lakh,General,Tax Saving
Abu Dhabi Commercial Bank,Foreign Banks,7.3,1234 days,Less than Rs. 1 cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.3,1234 days,Rs. 1 cr to 5 crs,General,Taxable
Bank of India,Public Sector / Nationalized Banks,7.3,1 Year & above to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,7.3,2 years & above to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7.3,1 year and above to less than 2 years,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7.3,2 years and above to less than 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.3,2 years to less than 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.3,271 days to 364 days,Less than Rs. 1cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.3,3 years to less than 5 years,Less than Rs. 1cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.3,365 days,Less than Rs. 1cr,Senior Citizen,Taxable
Dena Bank,Public Sector / Nationalized Banks,7.3,Above 1 year to less than 2 years,Less than Rs. 1cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.3,6 Months to less than 12 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Federal Bank,Indian Private Sector Banks,7.3,Above 1 year to 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,7.3,Above 1 years to 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,7.3,Above 2 years to 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Abhyudaya Co-operative Bank,Cooperative Banks,7.25,Above 15 months upto 120 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Bharat Co-operative Bank,Cooperative Banks,7.25,1 year to 3 years,Less than Rs. 15 lakh,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.25,Above 12 Months to 18 Months,Less than Rs. 15 lakh,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.25,Above 18 Months to 120 Months,Less than Rs. 15 lakh,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7.25,181 days to 12 Months,Rs. 15 lakh and above,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7.25,Above 1 year to less than 2 years,Less than Rs. 1cr,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7.25,Above 2 years to 3 years,Less than Rs. 1cr,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7.25,Above 3 year to 5 year,Less than Rs. 1cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7.25,Above 2 Years and upto 3 Years,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7.25,Above 3 Years and upto 5 Years,Less than Rs. 1 cr,Senior Citizen,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,7.25,Above 1 upto and inclusive of 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7.25,Above 4 years to less than 5 years,Less than Rs. 1 cr,General,Taxable
DCB Bank,Indian Private Sector Banks,7.25,More than 36 months to 60 months,Less than Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,2 years 6 months to below 2 years 9 months,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,2 years 9 months to below 3 years,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,270 days or below 1 year,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,3 years to below 61 months,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,61 months and above,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,2 years 6 months to below 2 years 9 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,2 years 9 months to below 3 years,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,270 days or below 1 year,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,3 years to below 61 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,61 months and above,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,7.25,1year,Upto Rs. 25 lakh,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,7.25,1 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,7.25,Above 12 months to 30 months,Less than Rs. 15 lakh,General,Taxable
Karnataka Bank,Indian Private Sector Banks,7.25,1 year to 2 years,Upto Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.25,Above 36 months to 60 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,7.25,Above 60 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7.25,364 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7.25,365 days to 389 days,Less than Rs. 1 cr,Senior Citizen,Taxable
